title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;Century;medium;simplified mediums;accessionNumber;galleryInformation
Pillow in the Shape of a Twin-Headed Bird;Accession Number: SL.1.2017.22.4;;China;China;Accession Number: SL.1.2017.22.4;/art/collection/search/696821?&ao=on&ft=Rooster&offset=400&rpp=100&pos=466;https://images.metmuseum.org/CRDImages/as/mobile-large/LC-SL_1_2017_22_4_001.jpg;as/web-additional/LC-SL_1_2017_22_4_001.jpg;as/web-large/LC-SL_1_2017_22_4_001.jpg;;;Woven silk jin (warp-faced compound plain weave), two amber beads;Silk;SL.1.2017.22.4;Not on view
Side chair (chais à la reine) (one of a pair);Georges Jacob (French, Cheny 1739–1814 Paris);Georges Jacob;French, Paris;France;Georges Jacob (French, Cheny 1739–1814 Paris) Date: 1784 Accession Number: 1977.102.13;/art/collection/search/231980?&ao=on&ft=Rooster&offset=400&rpp=100&pos=467;https://images.metmuseum.org/CRDImages/es/mobile-large/DP105674.jpg;es/web-additional/DP105674.jpg;es/web-large/DP105674.jpg;1784;18th century;"Carved and gilded walnut; pink silk moiré damask (not original)";Silk;1977.102.13;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzkyOTEsNDAuNzc5NDEzNjRAbG1AOTc5NzQ0ODA3ODg0' target='_blank'>Gallery 546</a>
Snuffbox;Johann Neuber of Schwartzenberg (1736–1808);Johann Neuber of Schwartzenberg;German, probably Dresden with French lining and rims;Germany;Johann Neuber of Schwartzenberg (1736–1808) Date: 1770–80 Accession Number: 17.190.1193;/art/collection/search/193869?&ao=on&ft=Rooster&offset=400&rpp=100&pos=468;https://images.metmuseum.org/CRDImages/es/mobile-large/39677.jpg;es/web-additional/39677.jpg;es/web-large/39677.jpg;1770–80;18th century;Gold, silver, semi-precious stones;Gold;171.901.193;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzY5MjQxLDQwLjc3OTEwNzAxQGxtQDkwMTczNzQyODEyMg==' target='_blank'>Gallery 533</a>
Biwa;Wakamura workshop;Wakamura workshop;Japanese;Japan;Wakamura workshopDate: ca. 1891 Accession Number: 69.271.1a, b;/art/collection/search/503053?&ao=on&ft=Rooster&offset=400&rpp=100&pos=469;https://images.metmuseum.org/CRDImages/mi/mobile-large/192824.jpg;mi/web-additional/192824.jpg;mi/web-large/192824.jpg;ca. 1891;19th century;Wood, lacquer, gold, white coral?, leather, ivory;Wood;69.271.1a, b;Not on view
Latin Cross with Birds and Smaller Motifs;Jacques Hurtu (French (active 1584–1635));Jacques Hurtu;;;Jacques Hurtu (French (active 1584–1635)) Date: ca. 1614–19 Accession Number: 22.114.4;/art/collection/search/415175?&ao=on&ft=Rooster&offset=400&rpp=100&pos=470;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP826391.jpg;dp/web-additional/DP826391.jpg;dp/web-large/DP826391.jpg;ca. 1614–19;17th century;Blackwork and engraving;Engraving;22.114.4;Not on view
New Spring;;;China;China;Date: early 20th century Accession Number: PI.066;/art/collection/search/77102?&ao=on&ft=Rooster&offset=400&rpp=100&pos=471;https://images.metmuseum.org/CRDImages/as/mobile-large/PI_042.jpg;as/web-additional/PI_042.jpg;as/web-large/PI_042.jpg;early 20th century;20th century;"Woodblock print; ink and color on paper

";Paper;PI.066;Not on view
Boy’s Day Carp Streamer and Sh?ki Banner;Kawanabe Ky?sai ???? (Japanese, 1831–1889);Kawanabe Ky?sai ????;Japan;Japan;Kawanabe Ky?sai ???? (Japanese, 1831–1889) Date: before 1870 Accession Number: 2018.22;/art/collection/search/754547?&ao=on&ft=Rooster&offset=400&rpp=100&pos=472;https://images.metmuseum.org/CRDImages/as/mobile-large/DP-16218-006.jpg;as/web-additional/DP-16218-006.jpg;as/web-large/DP-16218-006.jpg;before 1870;19th century;"Hanging scroll; ink and color on silk";Silk;2018.22;Not on view
Shamisen;Takechi Matsukawa for;Takechi Matsukawa;Japanese;Japan;Takechi Matsukawa forDate: 1891 Accession Number: 69.271.2a, b;/art/collection/search/503054?&ao=on&ft=Rooster&offset=400&rpp=100&pos=473;https://images.metmuseum.org/CRDImages/mi/mobile-large/DP-28534-001.jpg;mi/web-additional/DP-28534-001.jpg;mi/web-large/DP-28534-001.jpg;1891;19th century;Wood, catskin, rope, silk string, lacquer, red coral;Wood;69.271.2a, b;Not on view
Parody of Minamoto no Tametomo;Suzuki Harunobu (Japanese, 1725–1770);Suzuki Harunobu;Japan;Japan;Suzuki Harunobu (Japanese, 1725–1770) Date: 1765 Accession Number: JP2437;/art/collection/search/54181?&ao=on&ft=Rooster&offset=400&rpp=100&pos=474;https://images.metmuseum.org/CRDImages/as/mobile-large/DP119571.jpg;as/web-additional/DP119571.jpg;as/web-large/DP119571.jpg;1765;18th century;"Woodblock print; ink and color on paper";Wood;JP2437;Not on view
Frontispiece for the Society of Etchers;Jules-Ferdinand Jacquemart (French, Paris 1837–1880 Paris);Jules-Ferdinand Jacquemart;;;Jules-Ferdinand Jacquemart (French, Paris 1837–1880 Paris) Date: 1863 Accession Number: 28.57.16;/art/collection/search/828797?&ao=on&ft=Rooster&offset=400&rpp=100&pos=475;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP886905.jpg;dp/web-additional/DP886905.jpg;dp/web-large/DP886905.jpg;1863;19th century;Etching;Etching;28.57.16;Not on view
