title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;Century;medium;simplified mediums;accessionNumber;galleryInformation
Rooster;"Saint James""s Factory (British, ca. 1748/49–1760)";Saint James's Factory;British, London;United Kingdom;"Saint James""s Factory (British, ca. 1748/49–1760) Date: ca. 1755 Accession Number: 64.101.544a, b";/art/collection/search/203407?&ao=on&ft=Rooster&offset=0&rpp=100&pos=1;https://images.metmuseum.org/CRDImages/es/mobile-large/DP-247-023.jpg;es/web-additional/DP-247-023.jpg;es/web-large/DP-247-023.jpg;ca. 1755;18th century;Soft-paste porcelain;Porcelain;64.101.544a, b;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzczNDQ0LDQwLjc3OTkzODA4QGxtQDk3MTI1ODQ2NDU4Mw==' target='_blank'>Gallery 512</a>
Rooster;Attributed to Wilhelm Schimmel (probably 1817–1890);Wilhelm Schimmel;American;USA;Attributed to Wilhelm Schimmel (probably 1817–1890) Date: 1865–90 Accession Number: 34.100.173;/art/collection/search/12537?&ao=on&ft=Rooster&offset=0&rpp=100&pos=2;https://images.metmuseum.org/CRDImages/ad/mobile-large/97323.jpg;ad/web-additional/97323.jpg;ad/web-large/97323.jpg;1865–90;19th century;White pine;Wood;34.100.173;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM0ODAzLDQwLjc4MDYxMzA4QGxtQDY4MzIyMTcyOTI0Mw==' target='_blank'>Gallery 774</a>
Necktie;Rooster;Rooster;American;USA;RoosterDate: ca. 1970 Accession Number: 2009.300.8268;/art/collection/search/175861?&ao=on&ft=Rooster&offset=0&rpp=100&pos=3;https://images.metmuseum.org/CRDImages/ci/mobile-large/87.66.9_CP1.jpg;ci/web-additional/87.66.9_CP1.jpg;ci/web-large/87.66.9_CP1.jpg;ca. 1970;20th century;Wool;Wool;20.093.008.268;Not on view
Rooster;Edward Ruscha (American, born Omaha, Nebraska, 1937);Edward Ruscha;;;Edward Ruscha (American, born Omaha, Nebraska, 1937) Date: 1988 Accession Number: 2011.565;/art/collection/search/399918?&ao=on&ft=Rooster&offset=0&rpp=100&pos=4;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP-24394-001.jpg;dp/web-additional/DP-24394-001.jpg;dp/web-large/DP-24394-001.jpg;1988;20th century;Aquatint and etching;Etching;2.011.565;Not on view
Rooster;Elie Nadelman (American (born Poland), Warsaw 1882–1946 Riverdale, New York);Elie Nadelman;;;Elie Nadelman (American (born Poland), Warsaw 1882–1946 Riverdale, New York) Date: ca. 1930–35 Accession Number: 65.12.5;/art/collection/search/489377?&ao=on&ft=Rooster&offset=0&rpp=100&pos=5;https://images.metmuseum.org/CRDImages/ma/mobile-large/sf65.12.5.jpg;ma/web-additional/sf65.12.5.jpg;ma/web-large/sf65.12.5.jpg;ca. 1930–35;20th century;Graphite and chalk on paper;Paper;65.12.5;Not on view
Necktie;Rooster;Rooster;American;USA;RoosterDate: 1958–60 Accession Number: 2009.300.1374;/art/collection/search/156082?&ao=on&ft=Rooster&offset=0&rpp=100&pos=6;https://images.metmuseum.org/CRDImages/ci/mobile-large/88.146.41_view1_CP4.jpg;ci/web-additional/88.146.41_view1_CP4.jpg;ci/web-large/88.146.41_view1_CP4.jpg;1958–60;20th century;cotton;Cotton;20.093.001.374;Not on view
Rooster;;;Edo peoples;Japan;Date: 18th century (?) Accession Number: 1991.17.54;/art/collection/search/316525?&ao=on&ft=Rooster&offset=0&rpp=100&pos=7;https://images.metmuseum.org/CRDImages/ao/mobile-large/DT6571.jpg;ao/web-additional/DT6571.jpg;ao/web-large/DT6571.jpg;18th century (?);18th century;Brass;Brass;1991.17.54;Not on view
Rooster;Accession Number: SL.1.2017.24.6;;China;China;Accession Number: SL.1.2017.24.6;/art/collection/search/640950?&ao=on&ft=Rooster&offset=0&rpp=100&pos=8;https://images.metmuseum.org/CRDImages/as/mobile-large/LC-SL_1_2017_24_6_001.jpg;as/web-additional/LC-SL_1_2017_24_6_001.jpg;as/web-large/LC-SL_1_2017_24_6_001.jpg;;;Earthenware with pigment;Earthenware;SL.1.2017.24.6;Not on view
Rooster figurine;;;Cypriot;Cyprus;Date: early 5th century BCE Accession Number: 74.57.16;/art/collection/search/244797?&ao=on&ft=Rooster&offset=0&rpp=100&pos=9;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP101869.jpg;gr/web-additional/DP101869.jpg;gr/web-large/DP101869.jpg;early 5th century BCE;5th century BCE;Terracotta;Terracotta;74.57.16;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Bronze statuette of a rooster;;;Cypriot;Cyprus;Date: 6th century BCE Accession Number: 74.51.5535;/art/collection/search/244414?&ao=on&ft=Rooster&offset=0&rpp=100&pos=10;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP20065.jpg;gr/web-additional/DP20065.jpg;gr/web-large/DP20065.jpg;6th century BCE;6th century BCE;Bronze;Bronze;74.51.5535;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Terracotta vase in the form of a rooster;;;East Greek, Rhodian;Greece;Date: late 6th century BCE Accession Number: 41.162.199;/art/collection/search/254370?&ao=on&ft=Rooster&offset=0&rpp=100&pos=11;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP114705.jpg;gr/web-additional/DP114705.jpg;gr/web-large/DP114705.jpg;late 6th century BCE;6th century BCE;Terracotta;Terracotta;41.162.199;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Terracotta statuette of a boy and a rooster;;;Greek, Asia Minor, Pontus;Greece;Date: 2nd century BCE Accession Number: 06.1087;/art/collection/search/247505?&ao=on&ft=Rooster&offset=0&rpp=100&pos=12;https://images.metmuseum.org/CRDImages/gr/mobile-large/sf061087.jpg;gr/web-additional/sf061087.jpg;gr/web-large/sf061087.jpg;2nd century BCE;2nd century BCE;Terracotta;Terracotta;61.087;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzI2NjY1LDQwLjc3ODIzOTgyQGxtQDYzNzExNjY0NTQ0OQ==' target='_blank'>Gallery 164</a>
Figure of a Rooster;;;American;USA;Date: 1830–70 Accession Number: 47.90.126;/art/collection/search/6890?&ao=on&ft=Rooster&offset=0&rpp=100&pos=13;https://images.metmuseum.org/CRDImages/ad/mobile-large/140873.jpg;ad/web-additional/140873.jpg;ad/web-large/140873.jpg;1830–70;19th century;Parian porcelain;Porcelain;47.90.126;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM0ODAzLDQwLjc4MDYxMzA4QGxtQDY4MzIyMTcyOTI0Mw==' target='_blank'>Gallery 774</a>
Armet with Mask Visor in the Form of a Rooster;;;German, probably Augsburg;Germany;Date: ca. 1530 Accession Number: 29.150.3a;/art/collection/search/23087?&ao=on&ft=Rooster&offset=0&rpp=100&pos=14;https://images.metmuseum.org/CRDImages/aa/mobile-large/DP-12880-028.jpg;aa/web-additional/DP-12880-028.jpg;aa/web-large/DP-12880-028.jpg;ca. 1530;16th century;Steel;Steel;29.150.3a;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzE3Mjg0LDQwLjc4MDA5MTQ3QGxtQDE0NzgzMDYzMDk1' target='_blank'>Gallery 374</a>
Terracotta statuette of a rooster;;;Greek, Cypriot;Greece;Date: 2nd–1st century BCE (?) Accession Number: 74.57.18;/art/collection/search/244799?&ao=on&ft=Rooster&offset=0&rpp=100&pos=15;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP104677.jpg;gr/web-additional/DP104677.jpg;gr/web-large/DP104677.jpg;2nd–1st century BCE (?);2nd–1st century BCE;Terracotta;Terracotta;74.57.18;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Lead figure of a rooster;;;Greek, Laconian;Greece;Date: 6th–5th century BCE Accession Number: 24.195.107;/art/collection/search/251673?&ao=on&ft=Rooster&offset=0&rpp=100&pos=16;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP118312.jpg;gr/web-additional/DP118312.jpg;gr/web-large/DP118312.jpg;6th–5th century BCE;6th–5th century BCE;Lead;Lead;24.195.107;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Incense burner in the shape of a rooster;;;China;China;Date: second half 18th century Accession Number: 29.110.41;/art/collection/search/40699?&ao=on&ft=Rooster&offset=0&rpp=100&pos=17;https://images.metmuseum.org/CRDImages/as/mobile-large/DP242334.jpg;as/web-additional/DP242334.jpg;as/web-large/DP242334.jpg;second half 18th century;18th century;Cloisonné enamel;Gold;29.110.41;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjA5MzQyLDQwLjc4MDM2OTMyQGxtQDQ1MDQ3NzMzOTE2NA==' target='_blank'>Gallery 220</a>
Covered vessel in the shape of a heavenly rooster;;;China;China;Date: 18th–19th century Accession Number: 02.18.838a, b;/art/collection/search/44074?&ao=on&ft=Rooster&offset=0&rpp=100&pos=18;https://images.metmuseum.org/CRDImages/as/mobile-large/DP267507.jpg;as/web-additional/DP267507.jpg;as/web-large/DP267507.jpg;18th–19th century;18th century;Rock crystal;Rock crystal;02.18.838a, b;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MTkyMTIxLDQwLjc4MDI5Njc2QGxtQDM0NzI1MjE0Nzc2Mw==' target='_blank'>Gallery 222</a>
Vase in the shape of a heavenly rooster;;;China;China;Date: 18th–19th century Accession Number: 02.18.658a, b;/art/collection/search/43961?&ao=on&ft=Rooster&offset=0&rpp=100&pos=19;https://images.metmuseum.org/CRDImages/as/mobile-large/DP267504.jpg;as/web-additional/DP267504.jpg;as/web-large/DP267504.jpg;18th–19th century;19th century;Jade (nephrite);Jade;02.18.658a, b;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MTkyMTIxLDQwLjc4MDI5Njc2QGxtQDM0NzI1MjE0Nzc2Mw==' target='_blank'>Gallery 222</a>
Terracotta askos (flask) in the form of a rooster;;;Etruscan;Italy;Date: 4th century BCE Accession Number: 29.131.5;/art/collection/search/253032?&ao=on&ft=Rooster&offset=0&rpp=100&pos=20;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP252108.jpg;gr/web-additional/DP252108.jpg;gr/web-large/DP252108.jpg;4th century BCE;4th century BCE;Terracotta;Terracotta;29.131.5;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzY5NzAxLDQwLjc3ODA1MjcyQGxtQDE4MDg5MTI2Nzk1Mw==' target='_blank'>Gallery 170</a>
Terracotta alabastron (perfume vase);;;Greek, Corinthian;Greece;Date: ca. 575–550 BCE Accession Number: 41.162.57;/art/collection/search/254224?&ao=on&ft=Rooster&offset=0&rpp=100&pos=21;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP119927.jpg;gr/web-additional/DP119927.jpg;gr/web-large/DP119927.jpg;ca. 575–550 BCE;6th century BCE;Terracotta;Terracotta;41.162.57;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Terracotta alabastron (perfume vase);;;Greek, Corinthian;Greece;Date: ca. 620–590 BCE Accession Number: 06.1021.12;/art/collection/search/247185?&ao=on&ft=Rooster&offset=0&rpp=100&pos=22;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP119902.jpg;gr/web-additional/DP119902.jpg;gr/web-large/DP119902.jpg;ca. 620–590 BCE;7th century BCE;Terracotta;Terracotta;06.1021.12;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Set of twelve zodiac animals;;;China;China;Date: 8th century Accession Number: 2000.662.7a–l;/art/collection/search/49381?&ao=on&ft=Rooster&offset=0&rpp=100&pos=23;https://images.metmuseum.org/CRDImages/as/mobile-large/LC-2000_662_7al_027-1.jpg;as/web-additional/LC-2000_662_7al_027-1.jpg;as/web-large/LC-2000_662_7al_027-1.jpg;8th century;8th century;Earthenware with white slip;Earthenware;2000.662.7a–l;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjU0NjI1LDQwLjc3OTgxMjYzQGxtQDQwMTU3Njc0NDY1NA==' target='_blank'>Gallery 207</a>
Rooster;Style of Giambologna (Netherlandish, Douai 1529–1608 Florence);Giambologna;Italian or French;Italy;Style of Giambologna (Netherlandish, Douai 1529–1608 Florence) Date: probably 19th–20th century Accession Number: 58.156;/art/collection/search/202249?&ao=on&ft=Rooster&offset=0&rpp=100&pos=24;https://images.metmuseum.org/CRDImages/es/mobile-large/DP-219-001.jpg;es/web-additional/DP-219-001.jpg;es/web-large/DP-219-001.jpg;probably 19th–20th century;20th century;Bronze, on a later stone base;Bronze;58.156;Not on view
Hat;John-Frederics (American, 1929–1948);John-Frederics;American;USA;John-Frederics (American, 1929–1948) Date: 1940–45 Accession Number: 2009.300.1242;/art/collection/search/155936?&ao=on&ft=Rooster&offset=0&rpp=100&pos=25;https://images.metmuseum.org/CRDImages/ci/mobile-large/55.194.14_CP3.jpg;ci/web-additional/55.194.14_CP3.jpg;ci/web-large/55.194.14_CP3.jpg;1940–45;20th century;silk, rooster feet;Silk;20.093.001.242;Not on view
Rooster Figure;;;Edo peoples;Japan;Date: 18th century Accession Number: 50.145.47;/art/collection/search/308245?&ao=on&ft=Rooster&offset=0&rpp=100&pos=26;https://images.metmuseum.org/CRDImages/ao/mobile-large/50.145.47_a.JPG;ao/web-additional/50.145.47_a.JPG;ao/web-large/50.145.47_a.JPG;18th century;19th century;Brass;Brass;50.145.47;Not on view
Rooster Quilt;Mary Clara Milligan Kindler Moore (American, 1889–1978);Mary Clara Milligan Kindler Moore;American;USA;Mary Clara Milligan Kindler Moore (American, 1889–1978) Date: 1932–33 Accession Number: 2014.243;/art/collection/search/645328?&ao=on&ft=Rooster&offset=0&rpp=100&pos=27;https://images.metmuseum.org/CRDImages/ad/mobile-large/DP331488.jpg;ad/web-additional/DP331488.jpg;ad/web-large/DP331488.jpg;1932–33;20th century;Cotton;Cotton;2.014.243;Not on view
White Rooster;Milton Avery (American, Altmar, New York 1885–1965 New York);Milton Avery;;;Milton Avery (American, Altmar, New York 1885–1965 New York) Date: 1947 Accession Number: 1975.210;/art/collection/search/481441?&ao=on&ft=Rooster&offset=0&rpp=100&pos=28;https://images.metmuseum.org/CRDImages/ma/mobile-large/DT10458.jpg;ma/web-additional/DT10458.jpg;ma/web-large/DT10458.jpg;1947;20th century;Oil on canvas;Oil on canvas;1.975.210;Not on view
Rooster Figure;Accession Number: 28.124.3;;China;China;Accession Number: 28.124.3;/art/collection/search/61190?&ao=on&ft=Rooster&offset=0&rpp=100&pos=29;https://images.metmuseum.org/CRDImages/as/mobile-large/28_124_3.JPG;as/web-additional/28_124_3.JPG;as/web-large/28_124_3.JPG;;;Bronze;Bronze;28.124.3;Not on view
The Rooster;Charles Jacque (French, Paris 1813–1894 Paris);Charles Jacque;;;Charles Jacque (French, Paris 1813–1894 Paris) Date: ca. 1853 Accession Number: 27.69.3;/art/collection/search/832361?&ao=on&ft=Rooster&offset=0&rpp=100&pos=30;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP888891.jpg;dp/web-additional/DP888891.jpg;dp/web-large/DP888891.jpg;ca. 1853;19th century;Wood engraving;Wood;27.69.3;Not on view
Anklet: Rooster;;;Nuna (?);Ghana;Date: 19th–20th century Accession Number: 1995.64.3;/art/collection/search/317604?&ao=on&ft=Rooster&offset=0&rpp=100&pos=31;https://images.metmuseum.org/CRDImages/ao/mobile-large/1995.64.3_a.JPG;ao/web-additional/1995.64.3_a.JPG;ao/web-large/1995.64.3_a.JPG;19th–20th century;20th century;Brass;Brass;1995.64.3;Not on view
A rooster;José Guadalupe Posada (Mexican, 1851–1913);José Guadalupe Posada;;;José Guadalupe Posada (Mexican, 1851–1913) Date: ca. 1904 Accession Number: 30.82.78;/art/collection/search/735303?&ao=on&ft=Rooster&offset=0&rpp=100&pos=32;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP874465.jpg;dp/web-additional/DP874465.jpg;dp/web-large/DP874465.jpg;ca. 1904;20th century;Zincograph;Zincograph;30.82.78;Not on view
Chinese rooster;Meissen Manufactory (German, 1710–present);Meissen Manufactory;German, Meissen;Germany;Meissen Manufactory (German, 1710–present) Date: 1732 Accession Number: 1974.356.371;/art/collection/search/205930?&ao=on&ft=Rooster&offset=0&rpp=100&pos=33;https://images.metmuseum.org/CRDImages/es/mobile-large/205103.jpg;es/web-additional/205103.jpg;es/web-large/205103.jpg;1732;18th century;Hard-paste porcelain;Porcelain;1.974.356.371;Not on view
Rooster and coxcomb;Qi Baishi (Chinese, 1864–1957);Qi Baishi;China;China;Qi Baishi (Chinese, 1864–1957) Date: dated 1947 Accession Number: 2008.188.1;/art/collection/search/73779?&ao=on&ft=Rooster&offset=0&rpp=100&pos=34;https://images.metmuseum.org/CRDImages/as/mobile-large/2008_188_1_O2.jpg;as/web-additional/2008_188_1_O2.jpg;as/web-large/2008_188_1_O2.jpg;dated 1947;20th century;"Hanging scroll; ink and color on paper";Paper;2008.188.1;Not on view
Rooster in a Storm;S? Shizan (Japanese, 1733–1805);S? Shizan;Japan;Japan;S? Shizan (Japanese, 1733–1805) Date: 1783 Accession Number: 2000.245;/art/collection/search/54038?&ao=on&ft=Rooster&offset=0&rpp=100&pos=35;https://images.metmuseum.org/CRDImages/as/mobile-large/DT4667.jpg;as/web-additional/DT4667.jpg;as/web-large/DT4667.jpg;1783;18th century;"Hanging scroll; ink, color, and gold on silk";Silk;2.000.245;Not on view
Vase with rooster;Haviland & Co. (American and French, 1864–1931);Haviland & Co.;French, Paris;France;Haviland & Co. (American and French, 1864–1931) Date: ca. 1884 Accession Number: 2013.473;/art/collection/search/239358?&ao=on&ft=Rooster&offset=0&rpp=100&pos=36;https://images.metmuseum.org/CRDImages/es/mobile-large/DP704018.jpg;es/web-additional/DP704018.jpg;es/web-large/DP704018.jpg;ca. 1884;19th century;Stoneware;Stoneware;2.013.473;Not on view
Golden Rooster and Hen;Unidentified artist;Unidentified artist;Korea;South Korea;Unidentified artistDate: 19th century Accession Number: 19.103.2;/art/collection/search/40073?&ao=on&ft=Rooster&offset=0&rpp=100&pos=37;https://images.metmuseum.org/CRDImages/as/mobile-large/DP289323.jpg;as/web-additional/DP289323.jpg;as/web-large/DP289323.jpg;19th century;20th century;"Hanging scroll; ink and color on paper";Paper;19.103.2;Not on view
Zodiac Figure: Rooster;;;China;China;Date: 18th century Accession Number: 1992.100.8;/art/collection/search/44682?&ao=on&ft=Rooster&offset=0&rpp=100&pos=38;https://images.metmuseum.org/CRDImages/as/mobile-large/DP-18682-001.jpg;as/web-additional/DP-18682-001.jpg;as/web-large/DP-18682-001.jpg;18th century;19th century;Porcelain, in the biscuit and with turquoise and aubergine glazes;Porcelain;1992.100.8;Not on view
Rooster and Chick;Hokusai School;Hokusai School;Japan;Japan;Hokusai SchoolDate: 19th century Accession Number: 38.106.16;/art/collection/search/57309?&ao=on&ft=Rooster&offset=0&rpp=100&pos=39;https://images.metmuseum.org/CRDImages/as/mobile-large/38_106_16_115900.jpg;as/web-additional/38_106_16_115900.jpg;as/web-large/38_106_16_115900.jpg;19th century;20th century;"Unmounted painting; ink on paper";Paper;38.106.16;Not on view
Rooster and Hens;Charles Jacque (French, Paris 1813–1894 Paris);Charles Jacque;;;Charles Jacque (French, Paris 1813–1894 Paris) Date: 1864 Accession Number: 27.10.53;/art/collection/search/829970?&ao=on&ft=Rooster&offset=0&rpp=100&pos=40;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP886993.jpg;dp/web-additional/DP886993.jpg;dp/web-large/DP886993.jpg;1864;19th century;Etching;Etching;27.10.1953;Not on view
Saucer with rooster;;;China;China;Date: late 18th century Accession Number: 79.2.1094;/art/collection/search/46391?&ao=on&ft=Rooster&offset=0&rpp=100&pos=41;https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_1094_O1_sf.jpg;as/web-additional/79_2_1094_O1_sf.jpg;as/web-large/79_2_1094_O1_sf.jpg;late 18th century;19th century;Porcelain painted in overglaze polychrome enamels (Jingdezhen ware);Porcelain;79.2.1094;Not on view
Comb with Rooster;;;Baule peoples;Ivory coast;Date: 19th–20th century Accession Number: 1980.430;/art/collection/search/314226?&ao=on&ft=Rooster&offset=0&rpp=100&pos=42;https://images.metmuseum.org/CRDImages/ao/mobile-large/DP-14786-040.jpg;ao/web-additional/DP-14786-040.jpg;ao/web-large/DP-14786-040.jpg;19th–20th century;20th century;Ivory, metal;Ivory;1.980.430;Not on view
Harlequin and rooster;Chelsea Porcelain Manufactory (British, 1744–1784);Chelsea Porcelain Manufactory;British, Chelsea;United Kingdom;Chelsea Porcelain Manufactory (British, 1744–1784) Date: ca. 1755–60 Accession Number: 64.101.607;/art/collection/search/203460?&ao=on&ft=Rooster&offset=0&rpp=100&pos=43;https://images.metmuseum.org/CRDImages/es/mobile-large/DP-300-025.jpg;es/web-additional/DP-300-025.jpg;es/web-large/DP-300-025.jpg;ca. 1755–60;18th century;Soft-paste porcelain;Porcelain;64.101.607;Not on view
Harlequin and rooster;;;European, possibly German;Germany;Date: 19th century Accession Number: 64.101.608a, b;/art/collection/search/210315?&ao=on&ft=Rooster&offset=0&rpp=100&pos=44;https://images.metmuseum.org/CRDImages/es/mobile-large/209881.jpg;es/web-additional/209881.jpg;es/web-large/209881.jpg;19th century;20th century;Hard-paste porcelain;Porcelain;64.101.608a, b;Not on view
Rooster with Crescent;Marc Chagall (French, Vitebsk 1887–1985 Saint-Paul-de-Vence);Marc Chagall;;;Marc Chagall (French, Vitebsk 1887–1985 Saint-Paul-de-Vence) Date: 1957 Accession Number: 67.813.4;/art/collection/search/381476?&ao=on&ft=Rooster&offset=0&rpp=100&pos=45;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP881366.jpg;dp/web-additional/DP881366.jpg;dp/web-large/DP881366.jpg;1957;20th century;Lithograph;Lithograph;67.813.4;Not on view
Terracotta kylix: Siana cup (drinking cup);;;Greek, Attic;Greece;Date: ca. 6th century BCE Accession Number: 12.234.2;/art/collection/search/248724?&ao=on&ft=Rooster&offset=0&rpp=100&pos=46;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP115812.jpg;gr/web-additional/DP115812.jpg;gr/web-large/DP115812.jpg;ca. 6th century BCE;6th century BCE;Terracotta;Terracotta;12.234.2;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Terracotta kylix: lip-cup (drinking cup);;;Greek, Attic;Greece;Date: ca. 530–520 BCE Accession Number: 51.11.11;/art/collection/search/254676?&ao=on&ft=Rooster&offset=0&rpp=100&pos=47;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP115819.jpg;gr/web-additional/DP115819.jpg;gr/web-large/DP115819.jpg;ca. 530–520 BCE;6th century BCE;Terracotta;Terracotta;51.11.11;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzI1NTAzLDQwLjc3ODgxNTc2QGxtQDc0ODA1MjY2ODE2MA==' target='_blank'>Gallery 155</a>
Terracotta neck-amphora (storage jar);Attributed to the Prometheus Painter;Prometheus Painter;Greek, Attic;Greece;Attributed to the Prometheus PainterDate: ca. 570–6th century BCE Accession Number: 56.11.4;/art/collection/search/254846?&ao=on&ft=Rooster&offset=0&rpp=100&pos=48;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP115330.jpg;gr/web-additional/DP115330.jpg;gr/web-large/DP115330.jpg;ca. 570–6th century BCE;6th century BCE;Terracotta;Terracotta;56.11.4;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
O-daiko;Attributed to Kodenji Hayashi (Japanese, Nagoya 1831–1915);Kodenji Hayashi;Japanese;Japan;Attributed to Kodenji Hayashi (Japanese, Nagoya 1831–1915) Date: ca. 1873 Accession Number: 89.4.1236a–d;/art/collection/search/501802?&ao=on&ft=Rooster&offset=0&rpp=100&pos=49;https://images.metmuseum.org/CRDImages/mi/mobile-large/DP302725.jpg;mi/web-additional/DP302725.jpg;mi/web-large/DP302725.jpg;ca. 1873;19th century;Wood, metal, cloisonné, hide, silk, padding;Wood;89.4.1236a–d;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2Mjk3NDQ5LDQwLjc3OTk3ODdAbG1ANTg4MDgzNzg1MTUz' target='_blank'>Gallery 681</a>
Hen and Rooster with Grapevine;It? Jakuch? (Japanese, 1716–1800);It? Jakuch?;Japan;Japan;It? Jakuch? (Japanese, 1716–1800) Date: 1792 Accession Number: 1975.268.69;/art/collection/search/40459?&ao=on&ft=Rooster&offset=0&rpp=100&pos=50;https://images.metmuseum.org/CRDImages/as/mobile-large/DT10494.tif.jpg;as/web-additional/DT10494.tif.jpg;as/web-large/DT10494.tif.jpg;1792;18th century;"Hanging scroll; ink and color on silk";Silk;1975.268.69;Not on view
Rooster and Hen with Chicks;Watanabe Seitei (Japanese, 1851–1918);Watanabe Seitei;Japan;Japan;Watanabe Seitei (Japanese, 1851–1918) Date: ca. 1887 Accession Number: 14.76.61.54;/art/collection/search/54695?&ao=on&ft=Rooster&offset=0&rpp=100&pos=51;https://images.metmuseum.org/CRDImages/as/mobile-large/DP211842.jpg;as/web-additional/DP211842.jpg;as/web-large/DP211842.jpg;ca. 1887;19th century;"Album leaf; ink and color on silk";Silk;14.76.61.54;Not on view
Dutchman with a Rooster;;;Japan;Japan;Date: late 18th century Accession Number: 10.211.1444;/art/collection/search/60390?&ao=on&ft=Rooster&offset=0&rpp=100&pos=52;https://images.metmuseum.org/CRDImages/as/mobile-large/DP221814.jpg;as/web-additional/DP221814.jpg;as/web-large/DP221814.jpg;late 18th century;18th century;Ivory;Ivory;102.111.444;Not on view
Terracotta neck-amphora (jar);Attributed to the Polyphemos Group;Polyphemos Group;Greek, Chalcidian;Greece;Attributed to the Polyphemos GroupDate: ca. 540–530 BCE Accession Number: 46.11.5;/art/collection/search/254545?&ao=on&ft=Rooster&offset=0&rpp=100&pos=53;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP132176.jpg;gr/web-additional/DP132176.jpg;gr/web-large/DP132176.jpg;ca. 540–530 BCE;6th century BCE;Terracotta;Terracotta;46.11.5;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
